Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994037,10520,,,,7118,75,,,
China,Western Pacific,99367041,6754,1879,,1879,122273,8,2,,2
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9518,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89402,534,19,,19,1971,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88431,335,1,,1,835,3,,,
Netherlands (Kingdom of the),Europe,8638366,49624,516,3,516,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,835542,8241,,,,10353,102,,,
Suriname,Americas,82501,14064,1,,1,1406,240,,,
New Caledonia,Western Pacific,80163,28078,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7973,100,137,2,137,125,2,,,
French Polynesia,Western Pacific,79333,28242,,,,650,231,,,
Liberia,Africa,7930,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7617260,5908,516,,516,334524,259,8,,8
British Virgin Islands,Americas,7557,24993,,,,64,212,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74357,9454,,,,1302,166,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7344,41813,3,17,3,2,11,,,
Belize,Americas,71412,17959,1,,1,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.75686713E8,4791757.0,34028.0,695.0,34028.0,7054093.0,29383.0,566.0,2.0,566.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Cyprus,Europe,694447,78203,548,62,548,1451,163,1,,1
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68562,248,7,,7,1427,5,,,
Indonesia,South-East Asia,6829305,2497,45,,45,162059,59,1,,1
Turks and Caicos Islands,Americas,6801,17565,6,15,6,40,103,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672791,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Poland,Europe,6665723,17561,788,2,788,120718,318,1,,1
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,642819,1181,41,,41,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6388878,12556,792,2,792,142727,281,,,
Mauritania,Africa,63869,1374,1,,1,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
Republic of Moldova,Europe,636011,15766,144,4,144,12240,303,1,,1
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,610471,45935,,,,2998,226,,,
Austria,Europe,6082402,68333,12,,12,22534,253,,,
